# list of object assets to load in this scene
[ASSETS]
resources\mario.txt
resources\brick.txt
resources\coin.txt
resources\goomba.txt
resources\cloud.txt
resources\koopas.txt
resources\box.txt
resources\ground.txt
#resources\pipe.txt
resources\bush.txt
resources\cloudcute.txt

#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = Coin, 5 = Platform, 6 = Pipe, 7 = Box, 8 = Ground, 9 Bush, 10 CloudCute
# See OBJECT_TYPE constants in AssetIDs.h


# BRICKS
#1	0	0


#COIN
4	1072	80
4	1104	48
4	1136	16
4	1168	-16
4	1200	-48

#Goomba
#2	300	10

#Box	0 white	1 green	2 pink	3 blue 
7	272	96	3	5	16	16	3
7	272	96	3	5	16	16	3
7	240	128	3	3	16	16	2

7	512	64	4	7	16	16	0
7	464	96	4	5	16	16	2
7	400	128	5	3	16	16	1
7	512	144	6	2	16	16	1

#Platform
#5	90	136	16	15	16	51000	52000	53000

#Pipe
#6	16	128	16	16	2	61000	62000	

#Ground
8	0	176	39	1	16	16
8	624	160	29	2	16	16
8	1152	176	22	1	16	16
8	1536	176	5	1	16	16
8	1664	176	36	1	16	16
8	2256	176	35	1	16	16

#Bush
#Small Bush
9	160	160	101000
9	176	160	101000
9	192	160	101000

9	672	144	101000
9	688	144	101000
9	704	144	101000
9	720	144	101000
9	736	144	101000
9	752	144	101000

9	1040	144	101000
9	1056	144	101000

#Big Bush
#Big Bush 1
9	16	128	102100
9	16	144	102300
9	16	160	102300

9	32	112	102100
9	32	128	102500
9	32	144	102600
9	32	160	102700

9	48	112	102200
9	48	128	102400
9	48	144	102500
9	48	160	102700

9	64	128	102100
9	64	144	102700
9	64	160	102700

9	80	128	102200
9	80	144	102400
9	80	160	102600

9	96	128	102100
9	96	144	102700
9	96	160	102500

9	112	128	102200
9	112	144	102600
9	112	160	102700

9	128	144	102200
9	128	160	102400

#Big Bush 2
9	816	144	102100

9	832	112	102100
9	832	128	102300
9	832	144	102500

9	848	112	102200
9	848	128	102600
9	848	144	102700

9	864	112	102100
9	864	128	102500
9	864	144	102700

9	880	96	102100
9	880	112	102500
9	880	128	102600
9	880	144	102700

9	896	96	102200
9	896	112	102400
9	896	128	102500
9	896	144	102700

9	912	112	102100
9	912	128	102700
9	912	144	102700

9	928	112	102200
9	928	128	102400
9	928	144	102400

#Big Bush 3
9	944	144	102100

9	960	112	102100
9	960	128	102300
9	960	144	102500

9	976	112	102200
9	976	128	102600
9	976	144	102700

9	992	128	102200
9	992	144	102400

#CloudCute
#10	112	32	2
10	0	0	3

#Portal 
#50	300	110	316	140	2

# MARIO
0	20	100

#Koopas
#3	350	100
3	300	150


